CM1	CM2	CM3	CP1	CP2	CP3	CP4	CP5	KM1	KM2	KM3	KP1	KP2	KP3	KP4	KP5	KP5.1
105370374	4	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0
100874205	0	0	0	0	2	4	4	2	2	0	1	2	0	2	0	0	0
105378192	17	7	2	3	8	11	1	0	17	15	4	6	6	12	0	0	0
23263	205	2350	3654	5	12	130	1774	327	411	4323	6837	2	22	301	1514	457	625
100289410	2	71	362	0	0	0	9	5	1	83	478	0	0	2	12	11	16
2155	2	0	18	0	4	1	0	0	0	0	31	0	7	3	0	6	2
2159	14	18	28	9	4	12	3	25	47	17	153	16	28	3	4	103	149
104413892	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0
102724474	22	40	21	24	21	6	6	46	53	54	106	13	77	14	9	53	106
8858	10	4	44	19	6	6	6	22	4	0	133	14	2	1	4	13	9
55795	3385	3060	1410	2618	1153	3817	3412	2650	3250	2518	1376	1780	754	3501	2205	1603	1926
8451	9386	10560	4857	5685	5853	15097	11151	9572	9491	9046	5144	4757	6231	13063	8511	7270	9898
102465874	0	5	0	0	0	5	0	0	0	1	0	0	0	3	0	0	5
3916	34653	61301	13683	24731	19621	25713	36482	26999	45010	57292	17814	24495	21784	23715	37050	24741	23888
79774	359	637	156	599	94	1098	813	264	526	1115	332	679	210	1333	895	344	541
100874068	0	0	2	0	0	3	2	1	0	3	1	2	0	10	0	0	2
101928841	140	265	32	455	99	652	8	15	168	171	30	439	39	332	8	52	72
113622	248	350	208	184	299	340	49	636	359	318	331	186	275	343	51	779	879
55208	829	1820	627	542	664	810	879	702	900	1567	908	580	787	916	751	536	647
55002	4312	8162	10157	4720	3786	5259	6315	4842	5009	8371	15002	5119	4193	5150	6877	4926	5724
7027	18790	25876	10459	13224	6421	25011	17026	12346	16110	15387	9162	9535	4796	17936	11790	6464	9092
496	0	0	5	0	0	0	0	2	2	3	21	0	0	1	0	2	0
6011	0	0	0	0	4	1	0	5	0	0	1	0	0	0	0	11	7
105377805	0	0	4	0	0	0	0	1	0	0	0	0	0	0	4	0	2
100130386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348013	71	70	147	17	187	2	50	105	85	63	238	16	162	5	52	283	316
650669	32	27	1	14	4	3	5	2	52	19	14	52	3	5	4	6	2
2621	3466	2927	485	5399	354	143	70	468	5021	3335	1213	4583	522	177	198	1634	2385
100506394	126	106	36	228	36	4	2	22	93	85	49	163	35	5	2	47	86
643365	0	4	5	6	0	4	1	6	2	5	2	1	4	4	2	0	0
100861555	78	4	2	0	24	4	2	16	54	2	35	0	77	0	0	84	104
100507747	43	25	9	9	42	0	12	12	22	28	3	8	34	0	27	9	4
22821	2432	1938	996	835	2585	48	1925	1805	2243	1933	1024	406	3205	27	1439	1825	2388
105377808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
101929355	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0
8881	3411	3876	3628	3554	2508	4509	4979	3739	3608	3470	3224	2445	2104	3447	3608	2834	3235
100847035	2	6	2	11	3	6	8	14	1	1	1	4	1	5	5	5	11
100616227	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
65110	2935	4933	3668	3127	2839	3954	4333	2580	3269	3352	4025	2704	2993	3353	3541	2172	2045
283489	1831	3073	1974	2767	1145	2667	2607	2666	1803	2803	2037	1752	1160	2396	1709	1525	1891
104355150	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440153	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
642426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
641455	0	1	19	0	0	0	0	0	0	0	20	0	0	0	0	1	0
100508046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
642477	578	78	709	477	710	726	44	791	608	157	711	548	637	683	32	689	926
414763	4	0	7	7	1	3	2	7	8	0	0	7	12	7	0	3	8
503639	108	29	334	180	446	257	31	218	252	30	349	178	375	208	32	211	353
101101776	0	1	1	2	4	13	2	7	1	2	1	4	4	5	2	0	5
404785	0	0	0	0	0	0	0	0	0	0	14	0	2	0	2	0	0
101929572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79334	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
441669	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
441670	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
390429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79544	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
79317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91875	489	214	1016	1041	359	1588	1658	827	412	273	868	803	382	1137	1228	659	895
57820	1923	2258	4090	3006	1337	1791	4449	2984	1939	1475	3678	2511	838	1496	2458	1408	1742
100113391	0	0	2	0	0	0	0	5	0	0	0	0	0	0	1	0	0
85495	27	127	42	76	34	90	123	133	88	117	93	44	67	134	116	123	756
10038	2708	3463	3269	5292	2005	3630	3449	5073	2496	2128	2530	3683	1356	2878	2780	2612	3289
7011	1674	1191	1366	9438	1315	1618	2968	3190	2010	1260	1555	6864	1071	1377	2676	2147	3306
123103	2	0	39	12	0	0	6	0	8	0	22	10	0	0	0	0	0
55644	1787	678	1344	1836	1043	1370	2442	1892	1364	500	1086	1214	737	759	1473	809	1004
328	12932	10977	17719	16322	13314	15571	16277	21546	14268	8479	18282	14729	12179	12422	14810	15476	16008
90809	2718	2796	4532	6659	2326	3618	3622	2549	3347	2709	5898	7670	3273	4038	5253	2491	1789
4860	5032	2701	7848	11674	2080	2602	6488	5831	4571	2040	5740	7472	1967	2041	4946	2746	3340
338879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
254028	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
493901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7218	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	1	0
7237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100189151	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
100189419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100189286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
341799	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100189424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100189405	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
100009601	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2
100009602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
100189263	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0
100189001	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
100189088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
283	14	78	275	45	107	27	125	199	17	119	334	67	73	52	199	123	113
6038	54	148	752	103	381	89	251	534	105	370	962	116	280	134	672	401	650
10876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6039	0	0	0	3	2	0	10	0	0	6	0	2	2	8	12	0	8
6035	42	3446	0	91	26	2	815	16	18	4031	2	55	12	11	1602	0	10
6037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
643332	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
6036	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
64745	1248	1737	799	2268	760	1543	1436	3574	1101	1294	846	1505	507	1129	1181	1765	2194
101929718	3	2	3	19	8	5	6	33	0	2	0	11	0	4	10	10	12
29986	4	5	0	0	0	0	0	2	10	40	0	2	0	0	0	0	0
57447	1490	1013	1	2	5	2	54	1004	1979	1503	0	1	19	14	100	1185	1336
102465428	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
122664	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
440163	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
84659	29	182	0	2	0	12	0	0	17	107	0	0	0	5	0	0	0
122665	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
55701	1391	2093	158	120	773	47	324	2272	1264	1912	437	126	725	61	507	2524	3553
51222	3650	5030	351	906	1100	1071	209	2378	4297	4806	492	1256	1588	1210	431	3471	4356
643382	32	36	4	20	11	2	0	22	30	31	1	12	1	7	0	29	45
390445	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2
283624	213	282	565	386	401	432	411	494	291	187	642	360	398	348	310	298	440
3183	45752	49184	59365	68319	56804	69229	83312	103174	43643	39494	54197	49147	50238	52187	64656	71387	71741
57096	11	16	7	19	6	14	7	25	19	8	11	14	7	9	7	31	52
11198	10735	9412	12826	18024	11849	18308	17661	27654	15069	11266	15293	22160	17870	19093	19676	29686	38933
57680	9189	9116	8871	16298	8886	12373	9287	14306	9620	7721	9566	12114	7893	10183	8971	10483	13970
692053	6	0	2	5	1	1	4	2	3	0	1	2	0	3	2	4	4
319103	0	0	4	0	0	0	0	1	1	0	3	5	0	1	1	2	0
84932	973	1138	1986	1790	1648	1825	1446	1283	1077	847	2093	1490	1767	1324	1184	735	908
9878	6311	5842	6029	9670	4123	7253	6011	5474	7182	5562	6463	7103	3870	6309	5830	5080	6167
56339	2438	2136	2404	3609	1737	3691	1720	4033	2080	1520	2329	2706	1680	3216	1634	2341	2654
6297	322	90	8	0	240	55	6	2370	711	114	32	0	509	155	0	3842	4891
26533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26686	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
28691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6956	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
28686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28671	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
28673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28670	0	56	0	0	0	0	0	0	0	44	0	0	0	0	3	0	0
28669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28667	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28665	0	2	0	0	0	0	14	0	0	2	0	0	0	0	16	0	0
28664	0	2	0	2	0	0	6	2	0	3	0	0	0	0	7	0	0
28663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28661	0	6	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0
28660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28518	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
28659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28657	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
28679	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
28655	26	0	0	0	0	0	0	0	32	2	0	0	0	0	0	0	0
28653	9	1	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0
28652	128	2	0	9	0	13	0	0	160	0	0	7	0	12	0	0	0
28656	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
28648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28646	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0
28644	4	0	1	19	0	1	0	0	15	0	0	42	0	0	0	0	0
28643	0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	0	0
28642	0	0	0	55	0	117	6	0	0	0	0	38	0	102	0	0	0
28641	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
28640	1	0	0	0	0	12	0	0	0	0	0	0	0	20	0	0	0
28517	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
28525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28522	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
28519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28526	0	0	0	0	0	2	6	3	0	0	0	0	0	0	2	0	0
28516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28727	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
28728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
28732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28742	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
28743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28755	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0
105370399	0	0	0	0	0	2	15	2	3	0	0	0	2	2	9	0	2
1603	9516	8130	11419	7778	6850	12212	11336	11601	12141	8428	11479	6779	9182	11328	11514	10518	10475
63874	5600	2679	2020	5706	885	2667	1755	2468	5600	2577	2376	6468	711	1944	1785	2745	3964
5018	4510	4525	4590	2811	3890	5403	8127	9398	7440	6592	5976	3916	5064	6511	9144	10688	11351
9056	3114	470	64	14	76	36	69	51	5376	965	77	15	20	35	53	17	39
122704	5002	6043	4706	5414	3737	7856	8019	8093	6321	5410	4444	4421	3417	6269	5917	5463	3228
4323	7499	29860	14	41	3026	873	7000	165	10959	41852	41	127	3455	630	7076	110	148
26020	25239	23573	5622	12745	11228	13929	30031	12747	36623	28396	8244	14467	10618	17034	37431	19158	24456
161253	32	9	2	12	0	21	30	10	27	18	7	8	6	19	44	10	28
55147	3726	5173	3335	3698	2985	5123	4263	3038	4992	5536	4434	3658	3428	5448	4546	3121	4418
100505758	2	3	1	8	2	0	6	15	0	0	3	4	0	1	1	8	19
10419	4297	2108	5206	4927	2789	5222	4565	6242	5193	2694	4828	4427	5383	6541	4857	6351	6814
101926933	0	0	4	1	1	1	2	1	6	0	0	0	4	1	2	3	4
100189243	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54930	2463	2324	789	1492	1314	2708	3770	2158	2245	1229	800	1110	931	1949	2654	1406	2027
100616424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84962	9192	19555	3186	11764	5095	3034	3677	1544	9216	22508	4058	13357	4373	2701	3539	1885	2314
60686	654	775	492	532	419	511	810	773	719	826	653	375	423	449	893	680	748
5693	11755	7076	13795	8825	7653	21251	9988	11720	15783	7695	17359	9169	10380	20244	10737	13536	11642
122706	1	0	0	0	0	0	0	2	0	2	0	2	0	0	0	3	0
64403	821	541	158	2113	417	694	1507	853	930	585	200	1941	656	863	1438	834	1171
105370705	16	9	0	53	2	9	12	7	34	5	6	51	14	12	10	18	7
22985	12105	14913	14977	13383	12206	17566	23767	28934	12996	15260	15726	11454	14386	17740	21044	20692	19516
55017	2649	2940	2187	1940	2050	2238	4005	3325	2465	2468	2130	1083	1354	1859	2927	1640	2006
1053	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	1	2
23428	49	262	580	10	120	4	21	23	71	281	614	14	126	30	48	24	20
100507650	30	24	12	8	4	1	14	48	38	36	14	11	10	10	13	46	54
57594	1306	1307	576	585	627	680	991	2237	1820	1647	838	563	721	883	1345	1962	2088
90673	190	209	252	315	361	188	166	451	227	161	430	407	359	189	137	265	391
105378176	16	21	50	24	49	32	10	48	28	14	51	37	41	22	11	25	50
599	5014	3996	4394	2990	3156	4914	5213	1805	4964	3249	4658	2746	2761	4154	4396	1382	1675
100529063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8106	2775	3113	2315	3051	2315	3064	2513	3110	2363	2536	2204	2366	2319	2563	2836	2951	1098
51310	219	7	16	0	108	30	6	912	332	10	22	0	163	81	3	1268	1392
10278	2	2	4	2	0	4	0	6	2	2	0	2	0	14	0	0	1
64806	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
116173	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
4624	0	2	0	0	1	0	0	2	5	0	0	0	4	1	0	0	0
406990	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4625	0	1	0	0	0	0	0	0	0	0	4	0	2	1	1	0	2
104564225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100126336	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
25983	1808	1915	2830	1402	1550	2469	2405	2645	2373	1888	2681	1036	1686	2462	2071	1891	1631
79178	572	405	752	604	543	977	790	555	1051	507	886	522	608	851	762	629	829
85446	528	73	566	35	629	203	61	668	934	72	1215	46	1125	407	110	1391	1451
8906	2321	2157	1624	1432	542	2058	2581	2224	3162	2165	2028	1423	560	2130	3079	1497	2079
102724814	42	34	67	79	24	61	55	118	92	43	47	50	26	50	64	51	92
84502	1	6	0	2	0	8	2	7	1	4	8	0	0	6	1	1	0
10202	104	227	605	266	147	1975	261	250	136	174	441	128	76	1576	274	132	210
55449	274	781	282	262	415	585	1052	1547	437	801	537	295	445	482	945	1177	1500
10901	312	397	282	369	441	500	632	2930	334	379	343	329	359	554	676	2199	2523
317749	490	533	204	251	311	385	550	3900	610	467	337	227	306	512	512	2747	2848
728635	80	18	94	1	46	123	28	85	82	36	143	8	47	142	45	93	62
90668	42	23	58	8	4	9	1	164	89	31	203	13	30	28	4	398	565
9362	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0
4901	133	88	45	31	36	73	172	88	189	100	93	39	55	66	135	83	94
5106	2570	1744	3626	2015	2730	1826	18254	9039	3291	1328	4473	1658	1697	2141	11770	5821	7837
80344	4209	4876	2669	3068	2860	3131	5078	2969	7683	5466	4865	3415	4406	4281	7158	3845	5624
161247	10	14	10	9	13	6	6	12	9	28	10	15	5	9	5	19	10
5720	17614	10492	2840	6279	4209	7281	21535	9799	26237	13830	3716	5842	4252	7801	23403	10259	11293
51016	1908	1215	994	1271	905	1326	1258	1684	3771	1788	1678	1635	1801	2203	1772	2330	1521
5721	19262	9704	4996	6150	6094	8100	17945	9754	32024	12577	4993	6027	5500	8757	23212	8263	8177
102465801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55072	4147	2922	2942	2227	2262	2727	3858	3138	6066	4097	3302	2153	2882	3018	5248	3544	4374
10379	4810	3933	527	5035	1736	553	3491	1051	5564	7985	749	3852	1331	789	4761	1161	1315
9985	271	143	80	240	81	93	101	175	269	190	102	238	79	83	144	179	125
79711	5260	2001	6922	3701	5484	9274	8793	9709	4800	1590	6231	2690	5627	7769	6242	5937	8250
10548	5830	4715	4906	5469	3584	7447	6121	4424	7904	6429	6707	5560	4628	8480	7440	5873	8107
283629	77	58	49	49	17	54	74	47	70	41	41	45	22	51	86	83	72
29082	4163	3449	4202	2952	3384	5583	5349	4712	4894	3219	3730	2375	3558	4630	5392	4463	3237
145553	36	26	106	78	20	144	70	68	60	44	112	80	27	109	67	57	52
100528064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4738	4234	4464	4098	3464	2903	6151	7168	5544	4699	3807	4369	2724	1700	4901	5107	3527	2324
51292	2234	3204	3223	2619	3424	4194	4261	4216	2881	3022	3606	2251	2902	4038	3879	3855	5120
26277	1715	2872	1703	3233	2782	2515	2615	1201	1984	2354	2106	2514	2698	2227	1984	1019	1398
7051	159	92	40	256	16	40	20	15	460	164	64	788	16	59	26	12	15
5875	882	1487	1299	1132	1162	1417	1157	803	1692	1909	1853	1578	1530	1588	1144	926	1103
115817	653	891	155	1146	561	1482	754	916	735	1009	207	976	405	1386	847	1011	1050
161424	1867	2668	2238	1964	1968	3468	5144	1498	2805	2839	2670	1829	3264	3542	4388	1890	1936
27141	4	2	5	3	0	5	10	12	9	4	12	7	3	8	7	13	29
56413	21	22	42	24	16	21	21	39	45	13	33	44	13	16	21	32	86
1241	431	188	301	271	106	128	107	651	666	241	371	248	137	99	103	415	567
196883	19	28	8	2	0	0	13	6	45	62	28	0	0	6	18	2	0
11035	255	534	129	0	0	2	548	2	305	867	207	2	0	0	836	0	0
4776	36	127	84	354	16	118	84	2	106	242	221	652	10	244	217	0	6
57523	834	2281	2	57	25	308	3653	4	1635	5677	10	73	40	574	7779	20	38
23351	4536	5133	3140	12831	3959	4675	5812	3939	7059	7641	6812	15197	7283	6765	7239	6374	7452
643866	102	44	32	117	129	127	16	162	109	60	71	122	151	137	47	153	222
56948	723	1754	1305	3167	1343	825	861	1322	949	1417	1522	3039	1351	675	1488	1104	581
101927045	330	201	193	1024	243	127	324	359	466	265	232	746	221	116	265	464	488
1215	0	4	0	10	0	0	0	0	4	0	7	16	0	0	0	5	0
1511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
2999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3002	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
29091	4	26	1251	2788	0	55	922	14	4	46	1401	2586	0	26	771	1	0
4857	0	176	823	0	0	2	25	14	3	109	1156	0	0	2	43	2	0
101927062	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
