,external_gene_name,entrezgene_id,chromosome_name,strand,start_position,end_position,logFC,logCPM,F,PValue,FDR
ENSG00000080189.15,SLC35C2,51006,20,-1,46345980,46364458,-0.022739224,5.891903337,0.169947142,0.688636613,0.803210375
ENSG00000080200.10,CRYBG3,131544,3,1,97822011,97944984,0.13058894,5.410426003,7.230655393,0.022260805,0.063341215
ENSG00000080224.17,EPHA6,285220,3,1,96814581,97752460,0.029262604,-0.744736308,0.001100645,0.974427467,0.985340971
ENSG00000080345.17,RIF1,55183,2,1,151409883,151508013,-0.309087908,7.26418364,36.46940939,0.000112586,0.00138385
ENSG00000080371.6,RAB21,23011,12,1,71754863,71800286,-0.21619626,6.388198795,24.37909216,0.000545441,0.004133118
ENSG00000080493.17,SLC4A4,8671,4,1,71062667,71572087,0.30508501,1.279656939,0.251415767,0.626658604,0.757425733
ENSG00000080546.13,SESN1,27244,6,-1,108986437,109094819,0.268618798,3.331974977,2.729528479,0.128729226,0.244113764
ENSG00000080561.13,MID2,11043,X,1,107825755,107931637,0.209786714,2.981019006,3.080490913,0.112167184,0.220534365
ENSG00000080573.7,COL5A3,50509,19,-1,9959561,10010504,1.056756918,0.656450045,2.736059123,0.131528644,0.247929232
ENSG00000080608.10,PUM3,9933,9,-1,2720469,2844095,-0.246868538,5.543068214,7.233908002,0.022237449,0.063311276
ENSG00000080644.16,CHRNA3,1136,15,-1,78593052,78621295,0.690618442,-0.38829325,1.898203318,0.197573226,0.335068943
ENSG00000080802.18,CNOT4,4850,7,-1,135361795,135510127,0.08529534,4.777141316,1.977534515,0.189194235,0.325114432
ENSG00000080819.8,CPOX,1371,3,-1,98579446,98593648,-0.183937111,5.358755288,5.722093301,0.037226691,0.093933129
ENSG00000080822.17,CLDND1,56650,3,-1,98497912,98523066,0.375029542,5.836150254,41.99518461,6.27E-05,0.000963711
ENSG00000080823.23,MOK,5891,14,-1,102224500,102305190,-0.616659675,3.835766711,11.28935694,0.006988095,0.026241263
ENSG00000080824.18,HSP90AA1,3320,14,-1,102080742,102139699,0.330629388,11.259191,7.904403848,0.017996827,0.053957668
ENSG00000080845.17,DLGAP4,22839,20,1,36306336,36528637,0.511655777,6.208342622,27.87885746,0.000327842,0.002867458
ENSG00000080854.14,IGSF9B,22997,11,-1,133896438,133956968,0.220240466,2.079830847,1.513230524,0.246094145,0.393341318
ENSG00000080986.13,NDC80,10403,18,1,2571557,2616635,-0.314635382,5.767868208,12.87537535,0.004743449,0.019592044
ENSG00000081014.11,AP4E1,23431,15,1,50908672,51005895,0.039058038,4.98844827,0.239630742,0.634765433,0.763583858
ENSG00000081019.13,RSBN1,54665,1,-1,113761832,113812476,-0.182336411,4.61641455,9.339392883,0.011781276,0.039065899
ENSG00000081026.19,MAGI3,260425,1,1,113390515,113685923,-0.298296547,4.489995601,10.76339841,0.008002082,0.029067947
ENSG00000081041.9,CXCL2,2920,4,-1,74097040,74099196,-0.593325984,2.589897652,2.841624981,0.121963939,0.235018794
ENSG00000081052.12,COL4A4,1286,2,-1,227002714,227164453,0.261565579,0.725829991,0.242769404,0.63258223,0.761909694
ENSG00000081087.15,OSTM1,28962,6,-1,108041409,108165854,-0.10426401,6.242442889,0.74321371,0.4083225,0.567578827
ENSG00000081138.14,CDH7,1005,18,1,65750252,65890337,-0.549117259,2.464337196,0.256658331,0.629759576,0.759769624
ENSG00000081154.11,PCNP,57092,3,1,101574180,101594465,-0.291962838,7.225713826,16.93621199,0.0019807,0.010395545
ENSG00000081177.18,EXD2,55218,14,1,69191511,69244020,0.061168898,5.440407315,1.06373127,0.326054842,0.482335626
ENSG00000081181.8,ARG2,384,14,1,67619920,67651708,0.30871509,4.648390384,8.189583782,0.016493626,0.050424662
ENSG00000081277.12,PKP1,5317,1,1,201283452,201332993,1.39246553,1.524921022,5.045972111,0.050499732,0.119060941
ENSG00000081307.12,UBA5,79876,3,1,132654446,132679794,-0.467560738,5.592297934,34.96521698,0.000133676,0.001540841
ENSG00000081320.11,STK17B,9262,2,-1,196133583,196176503,-0.247598073,5.025820195,13.13353869,0.004465873,0.01885605
ENSG00000081377.16,CDC14B,8555,9,-1,96490241,96619843,0.102530509,5.429711969,3.195380812,0.10336179,0.207362521
ENSG00000081479.14,LRP2,4036,2,-1,169127109,169362534,-0.20852419,-2.476115626,0.079139557,0.784056505,0.868485548
ENSG00000081692.12,JMJD4,65094,1,-1,227730425,227735411,-0.147211055,4.889855779,3.497280681,0.090228907,0.186676583
ENSG00000081721.11,DUSP12,11266,1,1,161749758,161757238,-0.302762941,4.552150505,10.5758285,0.008405944,0.030252813
ENSG00000081760.17,AACS,65985,12,1,125065434,125143333,0.092655227,6.09259073,1.858584625,0.201941499,0.340422094
ENSG00000081791.9,DELE1,9812,5,1,141923855,141942047,0.310733192,5.327582662,23.87297448,0.000589703,0.004376635
ENSG00000081803.16,CADPS2,93664,7,-1,122318411,122886759,-0.59532185,5.063607903,0.98004161,0.344950621,0.502107234
ENSG00000081818.3,PCDHB4,56131,5,1,141121818,141125623,0.262450051,-2.144019372,0.160211319,0.700472059,0.812532215
ENSG00000081870.11,HSPB11,51668,1,-1,53916574,53945699,-0.326940402,4.886621552,6.113682885,0.032393978,0.084623872
ENSG00000081913.14,PHLPP1,23239,18,1,62715541,62980433,-0.855234026,4.845400546,36.12999641,0.000116975,0.00141778
ENSG00000081923.13,ATP8B1,5205,18,-1,57646426,57803315,-0.192347085,7.008417923,0.586292332,0.461100579,0.61614695
ENSG00000081985.11,IL12RB2,3595,1,1,67307364,67398724,0.234379896,2.787839206,0.083988618,0.77773314,0.865388928
ENSG00000082068.8,WDR70,55100,5,1,37379285,37753435,-0.229684134,5.129104673,26.74156747,0.000384691,0.003203735
ENSG00000082074.17,FYB1,2533,5,-1,39105252,39274528,-0.531010551,3.174400456,0.867023396,0.378177949,0.537210162
ENSG00000082146.13,STRADB,55437,2,1,201387858,201480846,-0.253935046,4.598921541,8.680515224,0.014245464,0.045143175
ENSG00000082153.18,BZW1,9689,2,1,200810594,200827338,-0.369088574,9.234116691,38.89485715,8.64E-05,0.001190797
ENSG00000082196.20,C1QTNF3,114899,5,-1,34017858,34043213,0.509057914,0.391139229,0.516227616,0.488487416,0.642646037
ENSG00000082212.13,ME2,4200,18,1,50879080,50954257,-0.090321524,5.91704866,0.087177309,0.773682926,0.863284676
ENSG00000082213.18,C5orf22,55322,5,1,31532287,31555053,-0.26207524,5.871779688,42.79596517,5.79E-05,0.000913507
ENSG00000082269.16,FAM135A,57579,6,1,70412941,70561174,0.695055342,4.792134671,41.50981369,6.58E-05,0.000996147
ENSG00000082438.16,COBLL1,22837,2,-1,164653624,164843679,-0.942293963,5.333303437,2.628612853,0.135232713,0.25329818
ENSG00000082458.12,DLG3,1741,X,1,70444835,70505490,0.474262793,5.452038836,19.68735406,0.001182604,0.007108591
ENSG00000082482.13,KCNK2,3776,1,1,215005775,215237090,0.400306669,-1.394255752,0.359619271,0.569758665,0.710949282
ENSG00000082497.12,SERTAD4,56256,1,1,210232796,210246631,-1.006863891,2.467877216,5.089491776,0.047043094,0.112816521
ENSG00000082512.15,TRAF5,7188,1,1,211326615,211374946,-0.241255971,4.181822731,7.016492173,0.023866254,0.066678629
ENSG00000082515.18,MRPL22,29093,5,1,154941073,154969411,-0.151614966,5.26980841,2.078678908,0.179175177,0.313096404
ENSG00000082516.9,GEMIN5,25929,5,-1,154887411,154938211,-0.180492773,5.876617088,5.155721149,0.045877852,0.110734538
ENSG00000082781.12,ITGB5,3693,3,-1,124761948,124901418,-0.068971375,7.613763075,0.242815638,0.632550203,0.761909694
ENSG00000082805.20,ERC1,23085,12,1,990509,1495933,0.080266889,6.39247748,1.840512335,0.203976596,0.343106347
ENSG00000082898.16,XPO1,7514,2,-1,61476032,61538741,-0.1572953,8.703720379,18.10056136,0.001582042,0.00874585
ENSG00000082996.19,RNF13,11342,3,1,149812770,149962139,-0.944906813,5.861670824,215.6294103,3.19E-08,1.45E-05
ENSG00000083093.9,PALB2,79728,16,-1,23603160,23641310,-0.222108966,4.919610979,13.05625773,0.004546869,0.019072879
ENSG00000083097.14,DOP1A,23033,6,1,83067666,83171350,0.12538002,4.236786059,1.643614284,0.228028771,0.37258761
ENSG00000083099.11,LYRM2,57226,6,-1,89568144,89638749,-0.0507791,5.382943425,0.753704877,0.405146087,0.564147247
ENSG00000083123.15,BCKDHB,594,6,1,80106647,80346270,-0.027021004,4.720925701,0.171281604,0.687490243,0.802612063
ENSG00000083223.18,TUT7,79670,9,-1,86287733,86354454,0.201641603,5.189918484,13.44885942,0.004152837,0.017894644
ENSG00000083290.20,ULK2,9706,17,-1,19770829,19867936,0.223667151,4.017611559,6.519234249,0.028169841,0.075769807
ENSG00000083312.17,TNPO1,3842,5,1,72816312,72916733,-0.176751738,8.312383162,7.58191476,0.019901311,0.058229396
ENSG00000083444.17,PLOD1,5351,1,1,11934205,11975538,0.407538039,7.213267909,44.30520938,5.00E-05,0.000825895
ENSG00000083454.22,P2RX5,5026,17,-1,3672199,3696240,0.542295847,4.203449159,6.996304755,0.024024715,0.066982246
ENSG00000083457.12,ITGAE,3682,17,-1,3714628,3801188,-0.547064351,2.702715757,20.11156832,0.00109711,0.006731397
ENSG00000083520.15,DIS3,22894,13,-1,72752169,72782096,0.020778483,6.332739528,0.094056516,0.765213244,0.857509411
ENSG00000083535.16,PIBF1,10464,13,1,72782133,73016461,-0.493666772,4.144669053,22.93780948,0.000683356,0.00480199
ENSG00000083635.8,NUFIP1,26747,13,-1,44939249,44989471,-0.241808222,4.002775482,6.751505278,0.026051653,0.071237697
ENSG00000083642.19,PDS5B,23047,13,1,32586452,32778019,-0.012277902,6.115062819,0.056343696,0.817041797,0.890907866
ENSG00000083720.13,OXCT1,5019,5,-1,41730065,41870425,-0.296622009,5.936441226,24.32487989,0.000549987,0.004150566
ENSG00000083750.12,RRAGB,10325,X,1,55717749,55758774,0.24162082,3.406848884,7.111538588,0.023136997,0.065207468
ENSG00000083799.17,CYLD,1540,16,1,50742050,50801935,0.142332717,5.067250666,2.488305303,0.144988543,0.266196072
ENSG00000083807.10,SLC27A5,10998,19,-1,58479512,58512413,-0.35363948,1.402538647,1.272880187,0.284906754,0.436971194
ENSG00000083845.9,RPS5,6193,19,1,58386400,58394806,-0.047944175,9.319404148,0.509521207,0.491258013,0.64508672
ENSG00000083857.14,FAT1,2195,4,-1,186587794,186726722,-0.269358502,8.768101796,8.629693743,0.01446024,0.045628376
ENSG00000083896.12,YTHDC1,91746,4,-1,68310387,68350090,0.149494334,6.509336554,7.555448183,0.020068193,0.05857775
ENSG00000083937.9,CHMP2B,25978,3,1,87227271,87255556,-0.265881513,6.436358515,31.55611285,0.00020182,0.002039637
ENSG00000084070.12,SMAP2,64744,1,1,40344850,40423326,-0.379566914,4.72451401,17.16304624,0.001894349,0.010044599
ENSG00000084073.9,ZMPSTE24,10269,1,1,40258041,40294180,0.03688953,7.538736118,0.41656594,0.532816708,0.680517344
ENSG00000084090.13,STARD7,56910,2,-1,96184859,96208827,-0.181818038,7.774973834,24.51302298,0.000534401,0.004076598
ENSG00000084092.7,NOA1,84273,4,-1,56963350,56977606,0.338644217,5.100594469,25.7757187,0.000442438,0.003553965
ENSG00000084110.11,HAL,3034,12,-1,95972662,95996365,-0.257109543,-0.641234822,0.186665787,0.674641476,0.793389955
ENSG00000084112.15,SSH1,54434,12,-1,108778191,108857590,0.078832217,6.174800265,0.810141757,0.388706982,0.547541846
ENSG00000084207.16,GSTP1,2950,11,1,67583742,67586656,0.111942283,7.97346069,3.37167396,0.095423315,0.194460153
ENSG00000084234.17,APLP2,334,11,1,130068147,130144811,-0.008559393,10.37940294,0.012988037,0.91146386,0.950581654
ENSG00000084444.14,FAM234B,57613,12,1,13044381,13142521,0.105398456,4.521649642,0.941039295,0.354313582,0.512273141
ENSG00000084463.8,WBP11,51729,12,-1,14784582,14803486,-0.073829972,7.302890458,3.079042655,0.109057665,0.215854539
ENSG00000084623.11,EIF3I,8668,1,1,32221077,32245397,-0.159075085,7.959610358,7.010905684,0.023909978,0.066762975
ENSG00000084628.10,NKAIN1,79570,1,-1,31179745,31239887,2.12877109,0.682955059,7.9131617,0.017948259,0.053822956
ENSG00000084636.18,COL16A1,1307,1,-1,31652263,31704319,0.624861559,1.05509607,1.330162958,0.274925113,0.425187245
ENSG00000084652.16,TXLNA,200081,1,1,32179675,32198285,0.04961638,7.10082214,0.983041441,0.344245756,0.501374989
ENSG00000084674.14,APOB,338,2,-1,21001429,21044073,0.515547186,0.643630926,0.255434666,0.633721052,0.762660637
ENSG00000084693.16,AGBL5,60509,2,1,27042364,27070622,-0.564427095,4.90615767,24.63439364,0.000524627,0.004033982
ENSG00000084710.14,EFR3B,22979,2,1,25042076,25159135,-0.230042182,2.218659778,0.471765886,0.507395933,0.659837646
ENSG00000084731.15,KIF3C,3797,2,-1,25926598,25982749,0.522780718,5.025422204,21.37588095,0.000882863,0.005794009
ENSG00000084733.11,RAB10,10890,2,1,26034084,26137454,-0.087478338,8.041601704,5.207393643,0.044993187,0.109013453
ENSG00000084754.12,HADHA,3030,2,-1,26190635,26244672,0.061043324,7.853878781,2.106163028,0.176573156,0.309243329
ENSG00000084764.11,MAPRE3,22924,2,1,26970637,27027219,-0.042110451,4.600734904,0.261332323,0.620021882,0.752168524
ENSG00000084774.14,CAD,790,2,1,27217369,27243943,-0.157742131,7.062847601,6.673560483,0.026740196,0.072712398
ENSG00000085063.16,CD59,966,11,-1,33703010,33736479,0.298494875,9.472667476,13.07706408,0.00452489,0.019007621
ENSG00000085117.12,CD82,3732,11,1,44564427,44620358,0.68365045,6.570920645,10.41658528,0.0087682,0.031295084
ENSG00000085185.15,BCORL1,63035,X,1,129981107,130058071,0.40413198,4.586301936,46.83121058,3.95E-05,0.000697151
ENSG00000085231.14,AK6,102157402,5,-1,69350984,69370013,-0.295049361,4.726141433,7.665262183,0.019386634,0.057061017
ENSG00000085365.18,SCAMP1,9522,5,1,78360611,78480739,1.661579819,6.095027586,243.1134101,1.77E-08,1.05E-05
ENSG00000085377.14,PREP,5550,6,-1,105273218,105454062,-0.168341661,5.886748796,7.82064302,0.018469462,0.05501432
ENSG00000085382.12,HACE1,57531,6,-1,104728094,104859919,-0.099204298,3.65808704,0.893242343,0.366315907,0.523747605
ENSG00000085415.16,SEH1L,81929,18,1,12947133,12987536,-0.160194234,6.204578875,7.299084593,0.021775635,0.062356351
ENSG00000085433.15,WDR47,22911,1,-1,108970214,109042113,-0.219960574,4.254151091,9.968146438,0.009894085,0.034226874
ENSG00000085449.15,WDFY1,57590,2,-1,223855716,223945357,-0.253356125,6.415832718,9.99703731,0.009816491,0.034020088
ENSG00000085465.12,OVGP1,5016,1,-1,111414319,111427735,0.583276969,-0.320238083,2.558123093,0.140025399,0.259971883
ENSG00000085491.17,SLC25A24,29957,1,-1,108134043,108200849,-0.392622231,6.969057493,18.90128136,0.001363125,0.007876958
ENSG00000085511.20,MAP3K4,4216,6,1,160991727,161117385,0.153696265,5.35016064,4.365109754,0.062498031,0.140777529
ENSG00000085552.17,IGSF9,57549,1,-1,159927039,159945613,1.151113821,3.514794573,26.21997292,0.000414674,0.00338673
ENSG00000085563.14,ABCB1,5243,7,-1,87503017,87713323,-1.023329774,2.95111767,1.724761315,0.229039926,0.373677672
ENSG00000085662.14,AKR1B1,231,7,-1,134442356,134459284,-0.131331091,6.600851069,2.702309835,0.130443383,0.246385657
ENSG00000085719.13,CPNE3,8895,8,1,86514435,86561498,0.2514542,7.176647533,14.34320046,0.00339821,0.015492947
ENSG00000085733.16,CTTN,2017,11,1,70398404,70436584,-0.153295598,8.55782745,6.007987512,0.033619006,0.086934767
ENSG00000085741.13,WNT11,7481,11,-1,76186325,76210736,0.644138713,3.980746333,4.01414509,0.346217107,0.503653491
ENSG00000085760.14,MTIF2,4528,2,-1,55236595,55269347,-0.329104799,5.683682006,54.81847562,1.99E-05,0.000457715
ENSG00000085788.13,DDHD2,23259,8,1,38225218,38275558,-0.502278262,5.460475556,109.5365062,8.42E-07,7.29E-05
ENSG00000085831.15,TTC39A,22996,1,-1,51287258,51345116,0.311277371,4.216431855,3.841889467,0.077682827,0.167280062
ENSG00000085832.17,EPS15,2060,1,-1,51354263,51519266,-0.207530787,6.339344935,18.2766499,0.001530485,0.008527727
ENSG00000085840.13,ORC1,4998,1,-1,52372829,52404423,-0.41055504,5.15046193,23.57374686,0.000617895,0.004506764
ENSG00000085871.9,MGST2,4258,4,1,139665768,139740745,-0.041854984,5.017011729,0.080539485,0.782209798,0.867890448
ENSG00000085872.15,CHERP,10523,19,-1,16517894,16542437,0.031528839,6.381526552,0.330814064,0.577569474,0.717368918
ENSG00000085978.22,ATG16L1,55054,2,1,233210051,233295674,-0.253838,5.98548026,14.80932855,0.003070471,0.014343404
ENSG00000085982.13,USP40,55230,2,-1,233475520,233566782,-0.237822178,5.713568843,8.865169462,0.013496829,0.043149616
ENSG00000085998.14,POMGNT1,55624,1,-1,46188682,46220305,0.095521946,6.63312953,1.064004762,0.3259956,0.4822962
ENSG00000085999.12,RAD54L,8438,1,1,46246461,46278480,-0.607158856,4.744868938,23.28154739,0.000646995,0.004636747
ENSG00000086015.21,MAST2,23139,1,1,45786987,46036122,-0.168775138,6.267477268,3.018861128,0.112159268,0.220534365
ENSG00000086061.16,DNAJA1,3301,9,1,33025273,33039907,-0.150248024,8.326268043,6.142581667,0.03206854,0.084026614
ENSG00000086062.12,B4GALT1,2683,9,-1,33104082,33167356,0.097763199,7.798285505,1.093411124,0.319716007,0.475291378
ENSG00000086065.14,CHMP5,51510,9,1,33264879,33282070,-0.069814848,6.410241895,1.093395564,0.319719283,0.475291378
ENSG00000086189.10,DIMT1,27292,5,-1,62347284,62403943,-0.417540414,5.458471131,22.40896742,0.000744197,0.005097971
ENSG00000086200.16,IPO11,51194,5,1,62403972,62628582,0.654742978,5.571696805,51.49158615,2.62E-05,0.000536584
ENSG00000086232.13,EIF2AK1,27102,7,-1,6022247,6059175,-0.286725871,7.862045582,23.59634384,0.00061571,0.004493045
ENSG00000086289.12,EPDR1,54749,7,1,37683843,37951936,-0.496590776,5.242089724,4.975096944,0.049142398,0.116724021
ENSG00000086300.15,SNX10,29887,7,1,26291862,26374383,-0.678610604,3.62721912,36.69209568,0.000109813,0.001367946
ENSG00000086475.15,SEPHS1,22929,10,-1,13317428,13348298,-0.034693229,6.363344494,0.550365873,0.474800847,0.62996035
ENSG00000086504.16,MRPL28,10573,16,-1,366969,371289,-0.025172117,6.146954928,0.197589417,0.665899477,0.78745719
ENSG00000086506.3,HBQ1,3049,16,1,180459,181179,0.611853627,-0.366625755,1.872116727,0.257805423,0.406267964
ENSG00000086544.3,ITPKC,80271,19,1,40717112,40740860,0.358040892,5.033086542,12.59657942,0.005066828,0.020594337
ENSG00000086548.9,CEACAM6,4680,19,1,41750977,41772211,-0.412316659,10.78792664,0.524274566,0.485199344,0.639799081
ENSG00000086570.12,FAT2,2196,5,-1,151504092,151591331,0.413745953,-0.477713836,0.539411596,0.479118704,0.633896297
ENSG00000086589.12,RBM22,55696,5,-1,150690792,150701077,-0.144153821,5.82200825,9.938987212,0.009973151,0.034459494
ENSG00000086598.11,TMED2,10959,12,1,123584533,123598582,-1.075187422,9.034512413,106.8243311,9.47E-07,7.80E-05
ENSG00000086619.13,ERO1B,56605,1,-1,236215101,236281958,0.05157919,5.183985456,0.197172146,0.66622797,0.787563521
ENSG00000086666.19,ZFAND6,54469,15,1,80059568,80138393,0.998787719,6.002609728,181.1202629,7.49E-08,2.35E-05
ENSG00000086696.11,HSD17B2,3294,16,1,82035004,82098534,0.017082976,0.215199029,0.001746356,0.967553365,0.982476091
ENSG00000086730.17,LAT2,7462,7,1,74199652,74229834,-0.827663042,4.681261578,5.186215234,0.045353227,0.109795912
ENSG00000086758.16,HUWE1,10075,X,-1,53532096,53686728,-0.10387838,8.62566941,2.873378269,0.120129919,0.232240714
ENSG00000086827.9,ZW10,9183,11,-1,113733187,113773735,-0.130157211,5.618581144,3.983802991,0.073150875,0.159223385
ENSG00000086848.15,ALG9,79796,11,-1,111782195,111871581,0.361863185,5.079337461,31.78404427,0.000196129,0.001998517
ENSG00000087008.16,ACOX3,8310,4,-1,8366282,8440723,0.151321245,3.778016351,2.849684843,0.121495075,0.234359439
ENSG00000087053.18,MTMR2,8898,11,-1,95821766,95925315,-0.421440489,6.524576628,54.25224835,2.09E-05,0.000467739
ENSG00000087074.8,PPP1R15A,23645,19,1,48872421,48876058,-0.225784931,6.796810076,2.706840212,0.130156067,0.245905736
ENSG00000087076.9,HSD17B14,51171,19,-1,48813018,48836510,1.098112563,0.820561611,8.145440379,0.01843404,0.054926454
ENSG00000087085.15,ACHE,43,7,-1,100889994,100896974,1.061984365,3.033015146,11.51134691,0.00660693,0.025174038
ENSG00000087086.15,FTL,2512,19,1,48965309,48966879,0.176740146,10.3794734,5.786622364,0.03637272,0.092360996
ENSG00000087087.20,SRRT,51593,7,1,100875103,100888664,-0.231571925,7.238128294,18.55129282,0.00145403,0.008247679
ENSG00000087088.20,BAX,581,19,1,48954815,48961798,-0.148826549,6.16890271,1.678980505,0.223438972,0.366756138
ENSG00000087111.21,PIGS,94005,17,-1,28553383,28571794,0.039225594,6.717595843,0.838967556,0.380707692,0.539560729
ENSG00000087128.10,TMPRSS11E,28983,4,1,68447463,68497604,-1.540616818,-0.539769707,3.369832363,0.102534159,0.206000952
ENSG00000087157.19,PGS1,9489,17,1,78378649,78425114,-0.012905985,4.150145353,0.026574348,0.873670353,0.928172833
ENSG00000087191.13,PSMC5,5705,17,1,63827152,63832026,-0.252390836,7.240932917,31.0849462,0.000214224,0.002129148
ENSG00000087206.17,UIMC1,51720,5,-1,176905005,177022633,-0.083992688,4.73284561,1.280647608,0.283523816,0.435436794
ENSG00000087245.13,MMP2,4313,16,1,55389700,55506691,-0.943521037,4.843791963,19.36330393,0.001253324,0.007410283
ENSG00000087253.13,LPCAT2,54947,16,1,55509072,55586666,0.224823823,6.032017086,0.6522433,0.441934334,0.598589255
ENSG00000087258.15,GNAO1,2775,16,1,56191390,56357444,0.740194479,4.09555207,10.81916668,0.007886537,0.02876118
ENSG00000087263.16,OGFOD1,55239,16,1,56451521,56479104,-1.099442048,5.757489652,192.5744566,5.55E-08,1.97E-05
ENSG00000087266.16,SH3BP2,6452,4,1,2793071,2841098,0.011393882,5.131422049,0.007840965,0.931144037,0.961367008
ENSG00000087269.16,NOP14,8602,4,-1,2937933,2963406,-0.237520732,6.358647606,14.84739872,0.003045417,0.014266898
ENSG00000087274.17,ADD1,118,4,1,2843844,2930076,0.022648092,7.519090129,0.115749863,0.740550608,0.839865771
ENSG00000087299.12,L2HGDH,79944,14,-1,50237563,50312229,-0.132034691,5.271307287,3.161717449,0.104970679,0.209615582
ENSG00000087301.9,TXNDC16,57544,14,-1,52430596,52552522,-0.358259807,4.063668265,6.147994125,0.032008031,0.083915654
ENSG00000087302.9,RTRAF,51637,14,1,51989514,52010694,-0.231774308,6.758102337,20.04955092,0.001109135,0.006779946
ENSG00000087303.18,NID2,22795,14,-1,52004803,52069228,-0.139441295,5.331652545,0.047040786,0.832545159,0.901041086
ENSG00000087338.5,GMCL1,64395,2,1,69829660,69881384,-0.072812242,5.431112193,0.984226533,0.343967884,0.501071042
ENSG00000087365.15,SF3B2,10992,11,1,66050729,66069308,-0.091234696,8.149710897,2.744680197,0.127787412,0.243059395
ENSG00000087448.11,KLHL42,57542,12,1,27780048,27803040,0.714419742,5.930381156,55.44632321,1.90E-05,0.000445622
ENSG00000087460.24,GNAS,2778,20,1,58839718,58911192,0.12907124,9.588341915,4.553651777,0.057939517,0.132670108
ENSG00000087470.17,DNM1L,10059,12,1,32679200,32745650,-0.06353589,7.402402582,2.314466164,0.158365387,0.285393248
ENSG00000087494.15,PTHLH,5744,12,-1,27958084,27972733,-0.189720872,3.250738961,0.588419437,0.460310669,0.615313666
ENSG00000087495.17,PHACTR3,116154,20,1,59577509,59847711,-0.797289438,4.007337279,3.676908143,0.086473796,0.181161623
ENSG00000087502.18,ERGIC2,51290,12,-1,29337352,29381189,-1.048148,6.863450425,248.8553036,1.57E-08,1.02E-05
ENSG00000087586.17,AURKA,6790,20,-1,56369389,56392337,-0.711637109,7.044969395,71.7483086,5.99E-06,0.000223361
ENSG00000087884.14,AAMDC,28971,11,1,77821109,77918432,-0.300284513,2.986426776,4.755034353,0.053513769,0.124559652
ENSG00000087995.15,METTL2A,339175,17,1,62423875,62453385,-0.213691649,4.669121845,13.20981457,0.004387623,0.01862129
ENSG00000088002.11,SULT2B1,6820,19,1,48552172,48599425,0.697093948,5.14082178,9.715559649,0.01060493,0.036111909
ENSG00000088035.17,ALG6,29929,1,1,63367575,63438553,-0.062887354,4.766216937,1.029499329,0.333595676,0.490668884
ENSG00000088053.11,GP6,51206,19,-1,55013705,55038264,0.761542259,-0.812417195,1.40809201,0.262111458,0.410996765
ENSG00000088179.9,PTPN4,5775,2,1,119759922,119984899,-0.078766133,5.093352235,1.153545355,0.307407339,0.460970839
ENSG00000088205.13,DDX18,8886,2,1,117814691,117832377,-0.209623317,7.428557795,9.381949037,0.011640569,0.038739599
ENSG00000088256.9,GNA11,2767,19,1,3094362,3123999,0.071894337,6.640541888,1.21101564,0.296268387,0.448677431
ENSG00000088280.19,ASAP3,55616,1,-1,23428563,23484568,1.322685422,3.449269328,82.03874892,3.25E-06,0.000160277
ENSG00000088298.13,EDEM2,55741,20,-1,35115364,35147336,-0.056849533,5.548710728,1.52963056,0.243717357,0.390554756
ENSG00000088325.16,TPX2,22974,20,1,31739271,31801805,-0.497386628,8.653969739,41.02779827,6.91E-05,0.001025157
ENSG00000088356.6,PDRG1,81572,20,-1,31944337,31952046,-0.339826284,5.437339995,37.3182664,0.000102443,0.001313392
ENSG00000088367.22,EPB41L1,2036,20,1,36091504,36232799,0.683716797,7.572734677,23.10170262,0.000665723,0.00472746
ENSG00000088386.17,SLC15A1,6564,13,-1,98683801,98752672,0.720862219,4.070222696,3.804532892,0.08576219,0.180002077
ENSG00000088387.19,DOCK9,23348,13,-1,98793429,99086625,0.70990397,5.711904207,35.33997739,0.000128009,0.001511089
ENSG00000088448.14,ANKRD10,55608,13,-1,110878540,110915069,-0.097924916,4.750367649,1.269933716,0.285433833,0.437643524
ENSG00000088451.11,TGDS,23483,13,-1,94574054,94596242,-0.30706626,3.592699197,9.646368551,0.010810286,0.036592274
ENSG00000088538.13,DOCK3,1795,3,1,50674927,51384198,0.462084773,1.678571911,9.766363296,0.010457135,0.035773809
ENSG00000088543.15,C3orf18,51161,3,-1,50558025,50571027,0.023134713,1.14542292,0.011676763,0.927953182,0.960031997
ENSG00000088682.14,COQ9,57017,16,1,57447425,57461270,0.065232874,5.872427909,1.225428646,0.293564959,0.446043925
ENSG00000088726.16,TMEM40,55287,3,-1,12733528,12769457,-0.081764744,2.338011033,0.047290425,0.83210901,0.900823271
ENSG00000088727.12,KIF9,64147,3,-1,47227998,47283451,-0.225547455,2.41115692,3.917211689,0.075235433,0.162969726
ENSG00000088756.12,ARHGAP28,79822,18,1,6729716,6915716,0.118633839,-2.760340424,0.026277737,0.87564093,0.929365353
ENSG00000088766.11,CRLS1,54675,20,1,6006093,6040053,0.12587749,5.645571697,3.144505986,0.105805432,0.211026224
ENSG00000088808.17,PPP1R13B,23368,14,-1,103733195,103847575,0.313946296,4.422176189,12.56139038,0.0051095,0.020719009
ENSG00000088812.18,ATRN,8455,20,1,3471018,3651118,-0.079190078,6.771273128,1.43195541,0.258353092,0.406654691
ENSG00000088826.18,SMOX,54498,20,1,4120980,4187747,-0.706509934,5.820921812,17.07929654,0.001925695,0.010167094
