Geneid	HISAT2 on dataset 210 and 211: aligned reads (BAM)	Length
81328	0	1035
81309	0	1113
219428	0	933
219429	0	1045
81300	0	939
219431	0	936
219432	0	1235
390142	0	945
219436	0	945
219437	0	936
219438	0	1020
26338	0	936
390144	0	987
84767	0	1629
390148	0	933
10798	0	945
282770	0	906
219445	0	1833
338674	0	945
219447	0	975
120586	0	933
390151	0	939
390152	0	939
81168	0	948
219453	0	924
282775	0	939
219464	0	1080
390154	0	1023
390155	0	981
219469	0	936
219473	0	939
390157	0	960
219477	0	1074
219417	0	930
219479	0	975
390162	0	933
219482	0	1051
219484	0	936
219487	0	918
390167	0	948
390168	0	948
338675	0	951
219493	0	933
390174	0	918
283189	0	984
102465135	0	109
101927120	0	2901
390181	0	930
219525	0	927
219527	0	5407
187	0	3877
85456	8628	6432
105369311	2	2346
6749	17978	2835
5024	0	5446
10394	0	869
5553	0	1544
29015	8	2936
349667	668	2220
8501	447	2786
26519	1110	674
219537	2	1740
9246	1802	1743
710	0	1983
406919	0	89
219539	24	3033
10978	876	1846
25921	7023	4847
219541	869	1757
51075	3803	1792
100528016	0	6251
280636	3296	1294
643376	19	4420
1500	304	6350
219956	0	2459
219952	0	954
219954	0	945
219957	0	1085
219958	0	978
219959	0	978
219960	0	1037
81341	0	1469
219965	0	945
441608	0	945
390190	0	1049
390191	0	1054
219968	0	930
9404	747	5898
386607	0	3544
80829	4754	5725
1270	0	1894
10249	0	2476
219970	0	1664
92292	0	2724
283194	0	2603
374393	1475	3561
101927204	56	2247
63901	953	3942
23220	31	5944
219972	3	4512
341112	0	935
105369316	0	3364
390195	0	936
219981	0	975
219982	0	1165
219983	0	945
390197	0	936
219986	0	936
390199	0	945
100188993	6	73
100189283	0	73
100189115	0	73
100189240	0	83
100189238	5	73
100189415	0	73
100049613	0	73
100009605	0	73
5007	7962	5083
100422880	0	82
219988	2796	5293
390201	0	930
81343	0	770
6809	355	7649
54948	4100	1517
2694	0	1554
6947	20	1567
255649	0	1163
105369444	0	538
219990	0	1633
932	0	1686
2206	0	4049
64231	12	3497
643680	4	5095
102465250	0	86
51338	2	1795
245802	0	660
58475	18	3009
84689	0	3573
64232	0	722
931	0	3594
54860	0	1316
503497	0	928
283197	0	852
83661	0	1353
728588	0	2214
219995	0	2808
341116	0	3506
79080	3712	2015
11251	6	2910
22917	0	2319
27339	9627	2341
79073	4726	2388
54972	5209	3520
51296	91	2906
923	0	3291
921	4	3158
55048	1100	2787
643834	0	1413
643847	0	1413
5222	0	1413
220001	65	3722
1642	34610	4356
26007	3299	5484
220002	2668	3724
51524	1136	2545
51259	232	2128
79869	5586	3912
54949	1733	1219
220004	30	1539
100616470	0	62
390205	4	2219
9066	1817	11919
101927495	0	2345
113157	9	3525
747	1774	6442
745	1104	5996
26070	0	936
746	1481	411
693196	2	67
2237	1950	2296
3992	8816	4597
100302263	0	80
9415	2766	3892
3995	2336	1820
102465446	0	63
5866	823	3850
7439	81	5118
2495	95046	1229
3619	6089	4191
10648	0	429
4246	0	521
10647	0	550
4250	0	851
404552	0	434
80150	577	3088
7356	0	452
79026	110238	19381
1937	122386	1538
102465447	2	61
64852	2294	2826
9219	10335	3069
256364	2376	3588
6094	173	1878
26229	3202	2848
23193	58736	4017
80789	3001	3285
102288414	16	809
79081	98	1320
751071	260	1740
692158	0	149
790955	824	1950
51035	6066	1394
221091	4	2585
26580	51	2598
100534595	0	4014
2785	16	1326
221092	3238	5147
283237	895	1308
79842	269	2974
5436	2197	837
10629	1230	2116
374395	1773	1046
102465448	7	71
79064	720	937
10482	4899	4147
102465257	0	70
6811	1804	2089
54663	2583	1994
26855	8	138
23642	2150	1118
9304	52	126
9298	110	68
9299	17	70
9297	5	65
9300	44	75
9301	11	72
9302	18	75
9303	63	67
6520	9876	2902
1128	0	2847
9356	0	2222
9376	0	2234
283238	0	3317
387601	0	4549
387775	0	3344
114571	0	2327
117245	0	3281
85329	0	3019
5920	330	765
54979	4	1399
11145	835	1767
25923	3881	7752
10313	13386	5066
65998	989	5582
144097	1980	2487
105369337	2	2024
2011	3065	5253
283248	650	2604
79829	1797	3962
100873759	0	107
1351	8229	507
55611	5538	2502
28992	769	2805
23769	60	4369
10963	25321	2904
83706	54	2737
83707	528	1062
84304	1024	1513
3338	1478	1532
7423	924	1805
2286	2401	1031
26472	6065	987
5331	7065	5728
56834	2824	4579
572	624	1224
50801	5	1810
25858	12	744
2101	2141	2492
51504	6684	1394
25824	8794	905
283234	556	5797
102466815	0	56
8986	6183	3137
100302280	0	102
100996455	37	2357
55867	0	3860
116085	0	3286
9379	151	8062
10235	150	3160
5837	196	3616
7536	18263	4227
5871	1866	2962
4221	6341	3772
55561	115	5732
10938	6686	3949
406967	0	110
406970	0	85
23130	5877	6416
102466192	0	75
102466727	0	69
5526	966	4051
170589	12	1886
283129	0	2493
116071	433	2440
100528018	0	2463
402	1255	980
102466756	0	66
29907	0	1939
29901	1047	1567
10004	2	2896
113130	3746	3865
7542	1154	1386
100130348	0	1672
738	3641	2760
7108	4509	1601
741	618	1336
2197	14418	575
740	4057	2162
84447	2822	3899
102465449	0	63
387778	2	1275
728975	93	1315
823	13825	3504
440044	14	3069
23649	1537	4600
10435	366	2023
5977	4594	2572
220359	520	1968
283130	221	4506
83786	4685	3752
283131	13287	3735
693197	15	100
101927789	33	2052
378938	5726	8708
57410	4664	2661
4054	8941	4862
254100	79	1194
10534	684	880
23625	1778	1458
254102	3884	5376
10089	16	1563
4296	3746	3712
399909	6996	8890
100616292	0	60
6494	2171	4107
100616284	3	62
5970	3830	2578
10524	774	2369
84153	3325	2785
91056	4255	6595
5017	0	4340
101927828	0	544
101927853	0	6111
254122	28	3020
1072	35859	1260
80198	1278	2514
30008	50	2068
1521	7	1296
9158	2365	1450
11007	4192	1232
8061	527	1753
83638	1394	1560
10589	8411	1005
254187	0	2437
9092	5863	3710
84285	1561	2925
8815	5942	1152
1474	0	609
117144	0	2619
89792	0	3320
10992	19025	3464
55690	5625	4616
64837	2003	3269
81876	10727	1955
254263	235	1382
10897	5098	2566
256472	583	2530
57124	9	2558
9610	1772	3177
25855	2858	1437
11041	3083	2070
102724064	26	1046
100189285	2	82
3177	1230	4179
266743	0	3302
65003	5841	1699
246330	514	3025
101928069	46	846
10072	2995	3083
582	752	3370
254359	1437	3774
89	0	3331
8722	8	2063
55231	114	2915
9973	1827	1032
10432	3808	5415
100526737	0	1614
5936	2675	4228
83759	726	2148
6712	1106	13206
105369445	0	679
79703	340	2326
9986	1618	1471
5091	4097	5076
78999	2677	3345
100423029	0	73
254439	12	1185
91683	32	5005
102465518	0	66
29984	1322	1133
22992	10024	8005
156	4244	3564
338692	1077	2847
54961	3058	3046
100130987	76	850
57804	1261	1760
23529	413	1973
5883	542	3245
5499	12208	1503
374403	46	3664
57571	31	6692
6199	4147	1910
5790	37	907
57175	8737	1979
390212	0	1429
57010	8	4575
80194	810	1984
9049	1739	1433
102465450	0	71
9600	4704	4349
10263	1674	1793
51475	0	1147
2950	23352	958
100505621	14	2431
4723	13253	1631
390213	0	434
254552	181	816
347853	3	1797
91703	28	1839
222	1	2696
645332	498	1859
100873760	0	107
81622	4687	2394
221	3989	2985
4728	4730	1405
102465669	4	59
100616403	18	85
10312	3179	3371
102465451	15	164
1119	1512	4980
51111	1348	7532
53838	1319	3336
4041	6201	5616
55291	6189	9494
51083	2334	778
9633	846	5937
1374	5459	5618
219927	2406	1017
3508	1532	5565
116512	0	966
116535	0	2283
101928200	0	1567
219931	1723	7926
100422846	0	83
338694	0	988
26579	13	2494
101928292	0	3425
595	2787	4526
220064	579	14209
9965	4	2137
2249	0	2530
2248	0	1548
101928443	0	1995
100009613	0	804
55107	393	5668
8772	2005	1853
8500	4194	6176
100313770	0	116
2017	7892	3516
22941	69	11535
100874198	0	2252
220070	0	1683
100500844	0	99
399923	0	2162
1717	9747	2799
55191	1560	2433
102466728	0	66
440050	0	898
57830	0	1183
3846	0	1188
387273	0	1058
440051	0	1021
55199	469	2192
285407	22	3870
100131539	2	3441
245911	0	222
100133315	91	1245
100129216	18	213
55298	1388	2925
10068	219	3909
4926	12266	8711
100128494	4	4233
100422953	0	75
220074	401	6336
55004	3033	1179
25906	230	1268
2352	0	1036
2348	4	1250
2350	6	1266
3636	11297	5161
401	0	1699
81570	1260	3481
101928555	0	2447
5138	20	4847
406931	0	68
116985	4188	5646
10809	1117	1988
100616410	0	63
89849	238	4698
9873	1712	5054
5029	459	10356
5031	40	6704
9828	2853	9806
84957	596	4596
23201	6755	7305
105379411	2	843
58473	2	3147
5870	5804	3560
51642	687	1038
51287	2195	817
80227	1545	1862
374407	5	4159
7351	389	1646
7352	20	3485
26005	1686	8869
51400	4270	3556
283208	0	2322
101928580	0	2157
283209	501	8576
100616215	0	97
10008	2	3072
387787	135	2158
100287896	274	2128
10714	1896	4831
25884	2	2770
100616402	0	70
254225	2009	8010
143570	773	5543
9789	5691	2708
10825	915	2748
341152	0	963
11309	21	4451
100507050	27	2800
408	2747	7814
442900	0	95
6188	97353	2747
6079	5	148
114599	5	146
283212	0	2341
81544	698	6923
871	20152	2532
4135	42	7212
80168	0	1584
283214	0	1504
84649	2050	2520
7405	1470	6123
7481	67	5859
100189072	0	72
100189224	0	72
5612	2630	3418
100506127	123	5359
56946	1343	7128
2615	8	4851
390226	0	2799
25987	1718	3844
101928837	21	348
55331	2201	8534
192134	0	2560
726	719	4540
4975	1	492
4647	508	8775
220032	1	4557
5058	2438	4380
646029	0	1845
282679	151	2153
1207	9308	1373
51773	7907	11389
28971	608	712
92105	1652	3909
100532726	0	2436
65987	0	1897
7069	6	1180
4718	724	2475
79053	3459	2506
100289388	102	1083
283219	516	6148
57558	602	7087
9846	30	6401
101928865	0	1642
79731	2058	2519
101928896	0	717
26011	0	14456
100126333	0	88
100847000	0	58
101928944	0	1548
101928989	0	1400
100422823	0	96
220382	0	1861
5547	11992	2305
220042	685	3664
27314	771	10414
100379250	0	135
100506233	179	673
51585	4006	6306
338699	1036	6086
60492	1403	4423
1740	73	11869
55863	1618	1341
84233	1153	818
58487	3915	7575
220388	125	2434
54843	1194	11478
220047	13	2953
8301	9141	4440
8726	1352	4253
102465452	0	66
51501	1603	1347
60494	15	2784
10873	17	3631
11098	2517	11440
8587	0	1024
8322	684	7394
100506368	17	1212
65084	4634	9080
23682	34	1460
100423040	0	92
1075	2894	7623
100873989	0	4821
2915	0	9477
100873753	0	107
7299	0	2173
50507	2	5503
219595	0	2519
390231	0	1353
57093	0	2163
105369176	0	728
642446	0	1987
399939	0	1631
729384	0	1651
120146	0	1603
642569	0	1730
642612	0	2241
105378955	0	817
642623	0	1182
10003	14	10390
26973	4309	9656
101929222	0	774
100616186	0	84
100302228	0	82
120114	2	19243
4544	0	3096
120103	1777	6399
105369447	0	1898
159989	0	3537
56935	95	1442
85459	2187	8201
619383	51	353
684959	17	134
692063	26	121
692075	4	71
677792	13	130
654320	84	139
692072	29	73
677805	92	132
100302240	18	91
677822	166	127
79101	1663	1312
28970	1320	3680
9440	2455	3497
387804	0	603
341208	3	5951
24145	1371	6639
390243	0	1057
10888	14	4282
4361	2553	5345
100302275	3	86
54851	535	1905
643037	0	604
2526	137	6048
143689	0	3199
154810	2053	9682
51503	2207	1769
55693	135	2974
390245	0	2339
10929	2639	4348
23052	942	4693
101929295	0	1926
143686	35	9861
100129203	0	1960
143684	652	5106
9702	3674	3222
8898	2780	5123
84441	361	8403
100422991	0	89
79780	691	6110
8690	717	3570
100874053	0	648
53942	0	8256
143872	0	5107
83935	4	1856
5241	0	17432
101054525	0	1223
7225	0	4790
100500823	0	86
253935	0	2561
57562	244	7079
85016	189	2291
10413	6549	5917
330	750	6988
329	3122	4265
114908	22909	3590
102723838	0	380
4316	0	1119
9313	0	1956
64066	0	1839
4317	0	3224
4319	0	1759
100288077	0	2642
4312	70	2055
4314	29	1828
4321	0	1877
4322	0	2719
84259	2151	12835
79659	2591	13699
100616457	0	75
80310	175	3993
414301	0	2615
102465752	0	61
102723895	0	624
100506742	0	1783
643733	2	619
837	799	1477
838	0	3148
834	24	2255
114769	136	1970
440068	9	1080
59082	0	660
2893	0	7906
84437	1194	4210
143879	251	8801
60496	4865	2861
101928535	0	3264
2977	0	16219
143884	1271	3584
91801	606	4120
55531	144	3127
643923	0	972
6588	0	730
54733	2279	3254
54734	897	1858
8065	5163	6764
38	13000	2358
4863	1743	6140
472	6227	14996
160140	95	2773
143888	8652	4582
23086	147	11264
1662	4220	3354
399947	0	6526
85463	164	9383
5962	6049	5548
2230	1595	3155
57569	0	7314
341032	0	1402
399948	0	6278
120376	0	1948
100616330	0	68
5450	0	3861
54766	0	2115
100132078	0	2587
644277	0	1426
407041	0	84
407042	0	77
399949	0	795
143903	0	4345
23235	2293	6308
5519	5251	9923
79796	2328	7416
91893	397	3066
64776	584	1141
1410	4	1837
100528019	0	1527
3316	0	841
91894	0	1140
85458	1441	8191
1737	5947	4346
120379	89	2879
55216	2801	3782
26521	1793	1155
6392	7329	1579
3606	10	1168
56158	0	1144
83875	89	3005
5805	351	1742
349633	0	1541
283140	1	2749
101928823	0	1309
387810	0	2067
101928847	0	1934
4684	0	8527
100288346	0	713
54970	881	3375
255239	0	6638
1813	2	2699
100422855	0	66
80975	15	2508
9183	3303	2948
644672	0	690
57646	2877	5364
9177	2	2457
3359	0	2411
7704	4	2720
4837	30	1578
101928940	0	3831
54494	1464	2237
10179	1874	3750
25996	1957	1161
120400	0	9360
54827	0	3505
120406	0	4705
23705	6	4394
283143	3	2245
84811	1237	2305
8882	3096	1778
116519	8	1932
337	0	1460
345	0	533
335	3	1001
104326055	0	563
23387	3390	7479
5049	9649	6430
51092	4152	3919
100652768	13	1244
6876	218	1557
9159	3927	4425
257160	1105	2797
23621	3766	6020
100379571	36	825
22897	4324	8235
57453	0	9576
486	0	669
100533181	0	1234
53826	195	2417
84000	0	4675
3587	63	3786
100526771	0	382
56649	4	4234
6330	115	4819
6327	0	4922
120425	2	2639
196264	480	4485
10205	33	3188
916	0	1513
915	0	741
917	0	1559
9354	9065	6128
100131626	1	572
10632	5977	1391
4297	13749	16693
101929089	0	1047
143941	2	679
84866	22	3010
56912	879	2245
372	12078	4016
23187	2527	7434
102466719	0	80
11181	12	1872
1656	8897	6321
643	6	3107
283149	5932	8938
100616376	0	80
7379	16	934
283150	4	1559
338657	261	1651
649946	8	641
6230	20954	492
51399	1027	1307
100500840	0	69
2542	1613	2777
10525	21561	4907
55823	3310	3585
3145	1239	2177
3014	3694	1594
1798	3431	2559
9854	869	5833
25988	1130	2624
64137	180	4486
79671	3602	4360
79849	7	2908
283152	67	1712
867	3614	11573
4162	62	3332
102465453	0	63
105369590	3	1788
79102	5052	2815
83552	0	3925
114902	0	3925
9099	154	4306
100499227	90	1156
7070	0	2397
5818	1048	6114
102724301	6	523
23650	15	3565
220323	1119	1862
25833	0	5269
649133	0	2128
219902	550	4970
23365	12474	10519
2900	4	6818
101929227	0	6314
219899	2097	4041
7007	106	6468
6309	1300	7157
6653	46	11293
105369535	0	3600
399959	0	3082
406911	0	88
414899	0	862
406882	0	72
406892	0	80
100189294	0	73
84959	106	7167
56253	1	2695
79864	55	5333
390259	0	702
341056	0	2046
3312	130086	2480
85391	26	80
85390	26	87
85389	19	88
79827	25	2650
57476	1460	13366
100616319	0	73
55800	8	6066
7753	729	5052
390260	0	939
390261	0	942
338661	0	1121
338662	0	945
219875	0	957
219874	0	1447
219873	0	996
390264	0	936
219870	0	936
219869	0	936
390265	0	936
4013	405	4187
26492	0	1025
219865	0	2043
26494	0	936
283159	0	927
283160	0	936
26595	0	942
390271	0	1161
283162	0	930
26493	0	936
219858	0	933
390275	0	1602
116337	0	1600
84897	792	5620
54414	2924	4282
53340	797	3990
4900	254	1218
23584	0	1786
90952	212	1880
101929340	12	1522
79684	484	6534
100507283	94	2908
64221	636	5357
54538	435	3837
220296	2	3623
641654	0	1428
80071	215	3893
219855	30	4248
219854	510	4254
103695364	0	586
63876	22	4002
9638	209	3944
403312	0	3421
9538	7363	2715
3703	19117	4793
1111	2908	5130
56	4	1175
160065	0	1508
399967	0	1640
100169851	0	1336
399968	0	1986
219844	721	2518
83480	693	1992
29118	0	1941
338667	0	3826
50937	983	8560
105369591	0	1884
84881	2042	2539
79607	1034	2410
6734	9807	3092
55572	2691	3788
114609	388	3826
28960	886	3147
399972	128	753
6484	1002	3791
84623	0	4890
101929427	0	560
100874251	0	494
100422918	0	85
283165	0	1768
101929473	0	2323
101929497	0	495
2113	2739	6059
102466104	0	60
101929517	0	1381
2313	2	4596
100507392	0	1298
3758	0	2908
3762	0	6163
219833	0	4437
63970	0	3444
9743	2410	10757
8538	1139	1912
101929557	0	982
120224	14	2675
4798	2862	5408
56980	810	7274
440072	11	2863
334	91535	3992
6768	80	3300
29068	2712	9722
11095	22	3663
170689	30	5916
102466873	0	69
283171	0	3547
100507431	0	1453
103611081	241	3999
399979	5747	9471
50863	0	5146
101929653	0	4335
101929637	0	678
100874281	0	764
4978	4	7205
646522	0	975
219938	0	907
283174	726	5306
100616119	0	78
22997	622	5892
100128239	18	2299
83700	5934	3668
23310	5981	5854
112936	3668	3999
29087	1616	1357
27034	1533	3649
112937	0	5566
89944	1203	3365
27087	170	7725
283177	6	2737
100288778	6	1875
677784	0	1126
440073	20	7482
574538	0	2907
6539	288	4452
101929384	8	761
6540	48	3755
102723544	0	503
5927	13927	10836
84318	1878	2506
283358	787	3438
4815	55	1457
100049716	158	2338
65125	40280	12630
5893	1310	4774
23085	14742	9912
100292680	6	2244
81029	341	2431
144699	1181	2403
100500816	4	66
79602	21264	4184
93589	7	7703
654429	2	4175
100271702	0	2352
196513	1597	3300
775	5	15203
100874369	0	589
100874234	0	737
100874370	0	430
100874235	0	609
100652846	0	2230
283440	0	571
2288	28344	3829
55846	995	2896
83714	147	3443
100507424	42	877
101929469	38	2142
2305	10396	3710
83695	4315	2464
7289	4827	3106
7004	2082	2161
10867	5300	4595
56341	0	2669
100129223	0	5979
84766	1379	5983
57097	1363	5605
103752584	0	553
894	17	6726
57103	2167	8229
8074	0	3018
2251	0	744
57102	3491	3984
10635	1888	2307
8798	1240	2735
10566	549	3631
4704	12152	1609
101929549	0	1249
26290	0	2135
3742	0	8342
3736	0	7983
3741	0	2870
101929584	0	1007
4908	0	1461
57101	0	8746
7450	54	8833
928	14538	2291
55200	132	3753
7132	18519	2226
6337	8689	3822
4055	12954	2608
678655	783	2364
939	10	1965
55080	726	2516
6843	977	3361
51258	11455	677
9918	36458	4806
692148	53	330
2597	455185	1892
25900	20	3704
4839	7903	3101
1108	28829	6644
677780	7	137
57121	0	2920
84519	27	1886
51147	1754	1748
171017	4114	4391
196500	700	4604
50813	4860	2305
8079	31782	1923
5763	37055	1463
3902	148	2013
920	90	3604
27239	2262	2516
10536	7123	2672
2784	129	1914
83461	2813	4440
8078	18785	3191
7167	103094	1856
84727	841	2476
283345	294	634
171220	466	1105
10233	375	1800
2026	2310	2423
1822	21270	4419
113246	4285	1088
100147744	0	63
5777	111	2624
406985	0	68
406933	0	95
11331	27521	1600
677777	116	270
10436	3678	1072
10162	10954	2297
716	1005	2905
715	499	2503
51279	2965	4157
283314	627	5272
83758	568	2432
9746	6694	5675
5830	3893	4429
341392	0	1743
283316	10	6371
9332	0	4289
339	0	903
9573	13	1224
359787	0	1079
170482	0	1314
360030	0	907
79923	0	2252
144195	9	4999
6515	2775	3938
55810	3672	5739
719	12	1955
25977	3527	2593
50856	14	2206
642559	0	1084
440077	2	3819
440078	292	3266
55138	27	3081
653113	175	2143
101927905	46	1009
389634	2	662
93978	0	1613
338339	0	1994
26253	0	2175
57379	0	2836
8076	0	3003
57494	2157	10110
144568	12	5757
1911	1065	5361
4074	14546	3667
10219	64	1791
253128	7	2210
144571	0	2187
2	36	4996
5858	0	4816
3	0	1201
100422872	78	85
100499405	69	2469
642846	425	3499
101930452	0	4388
101928030	0	322
728715	27	1246
105369647	11	975
440081	703	3909
105376678	27	916
408186	0	4122
3820	1	740
374443	111	3402
105369728	4	965
29121	125	5441
160365	0	3139
969	2	1676
51348	0	1239
9976	372	2038
100431172	0	731
387836	0	2204
100506159	0	979
160364	0	3206
51266	0	3896
387837	2	5035
102724020	0	670
283420	0	1737
51267	0	3036
64581	8	2823
4973	7	2695
120939	0	3086
23710	1780	3141
3824	0	5093
101928100	12	2830
22914	0	1589
100528032	0	1947
8302	0	928
3823	4	1145
3822	11	1221
3821	0	1830
10748	68	2208
55110	1816	3373
55359	10	3541
8531	15798	2511
105369660	9	3005
101928162	0	759
50837	0	1096
50836	0	930
50835	0	1075
50839	0	924
11272	0	564
100533464	0	1645
5554	0	1174
50838	0	1637
5555	6	4323
50840	1	954
259296	0	1000
259295	0	1914
259294	0	1002
259290	0	1021
259292	0	930
259289	0	1027
259293	0	960
100129361	1	4840
353164	0	945
5544	0	1101
5545	0	918
5542	0	1173
653247	0	1428
338817	34	3673
2120	1147	8175
79370	0	2788
100506248	18	687
103504734	4	85
4040	8161	10215
54682	618	2297
503693	117	1538
118426	1110	5911
80824	3944	6887
1389	4673	3813
2842	145	5946
1027	8682	2523
81575	1458	4826
693198	0	95
51202	11386	1817
387841	65	660
9052	33825	2851
693199	2144	90
55507	121	4089
50865	3449	1209
100506314	590	1743
93164	1952	4389
57613	3972	4711
83445	158	3092
2012	8019	2804
283422	0	3202
2904	0	30824
55729	13114	11670
79887	16613	1932
101928290	148	586
2984	244	3877
105369669	68	2251
121504	30	412
55766	10383	3667
144608	360	3201
51729	12773	2674
440087	9	2104
420	0	1371
4256	4	1473
121506	1	1752
397	26	1483
5149	0	747
101928340	0	605
85004	0	2483
100873980	0	337
5800	6	7636
2059	826	4435
11171	24107	1907
51071	4994	1804
729025	0	2923
4257	4752	6570
55885	0	5898
102724196	2	1893
728622	2	1882
100616279	0	96
79785	0	1147
5288	0	7307
89869	0	7294
93661	0	1078
54477	431	9583
121536	5217	6090
100506393	0	526
5139	8	11945
53919	3	3925
28234	2146	3014
338821	104	1923
10599	10	2787
6579	0	8631
3375	0	1976
79912	281	4374
5965	5510	3779
51026	6837	3272
80763	2	583
2998	0	5121
3945	61	1956
3764	0	2405
10060	2	9397
55907	4459	1796
6489	0	10416
9847	5026	5177
55500	12272	10009
101928441	0	1641
6660	0	9040
100126320	0	75
101928471	0	710
144360	0	1710
586	307	10227
102724371	0	1953
196415	0	1516
645177	0	2674
4033	8	3450
55259	55	3533
144363	1567	1247
3845	1259	5889
160492	259	5015
100422897	0	60
100506451	236	1085
11228	3742	7068
79365	504	3780
8082	599	4972
3709	3953	12620
55726	11201	3192
26127	4226	3150
51768	6659	4471
9412	3078	2955
728858	0	1106
23012	4731	5275
56938	320	7746
101928646	0	813
341346	0	1491
8496	5186	6189
387849	13	1139
60488	10705	1897
100287284	2	2121
57542	3494	7233
5744	4	3042
55297	2250	5417
55711	931	5061
100506606	47	2383
51290	3768	1777
101055625	0	1726
341350	0	6287
83857	354	9592
10526	7961	6875
65981	2902	5223
100287314	205	1895
441631	4	7441
100506660	69	2031
1663	2272	5039
144203	0	4914
58516	796	3778
79857	0	1630
160518	18746	10322
100874249	92	564
254013	182	2531
196394	654	3658
440093	8	1057
55196	3815	6518
636	1840	12355
121512	354	9775
10059	15403	4934
51067	5778	2677
5318	255	4439
341359	0	3478
84920	955	3128
105369729	0	1023
144245	947	10143
144402	749	6629
55605	2587	7964
225	0	8145
283461	0	3285
114134	74	7675
120892	13	10747
283463	0	24727
1272	2	7722
29951	0	4094
283464	3754	7489
10138	654	9367
85437	5765	1844
102467003	2	160
51535	3146	5611
144165	261	4855
101927058	0	1212
80070	0	7253
83448	1334	5094
51135	653	6002
5756	10519	3456
84216	30	5775
4753	0	4434
440097	0	2722
83956	0	2794
51054	97	1869
196527	5438	7231
400027	516	2202
196528	2419	8754
9169	11034	11431
105369970	9	902
81539	12034	10615
54407	73593	4884
100288798	994	906
55089	886	4079
347902	17	4831
91523	0	3601
100616486	0	80
100233209	0	2502
100616478	0	84
79657	2899	3707
8909	8	2460
10411	56	6922
55652	904	3703
51564	1731	5425
7421	127	5166
79022	6920	1588
1280	2	7499
29843	1676	5454
5213	9155	4259
102466657	0	71
140461	1387	2715
387856	4	2344
121275	9	1900
341567	0	1300
121274	282	9554
121273	0	1329
23519	0	396
341568	0	1080
3906	0	880
54934	1640	2387
677815	0	137
100302221	0	87
677793	2	135
677794	2	137
904	4373	7079
255411	0	658
112	4187	7856
100616262	2	63
100506125	2	554
784	759	4473
9416	13628	3267
27289	137	1665
85478	15	1842
51303	99	1337
377	17104	4702
7480	95	2459
7471	0	2284
23109	276	3824
5571	3156	2554
8085	9952	20780
121268	80	1287
50846	3	1936
55716	1449	4661
10376	74445	1753
7846	9882	2476
84790	26103	2118
101927267	22	4166
5630	6	1949
10024	2237	3255
338761	588	2066
79962	456	4515
65244	4053	4013
100335030	11	3162
23416	870	4091
10445	2253	2178
84070	93	3707
25766	547	4627
91010	984	12296
7009	62090	3356
57701	1517	5390
100286844	52	3088
144233	190	3249
23017	0	4857
283332	0	2341
101927292	0	3157
359	0	4179
101927318	1	994
362	2	1905
363	6	2654
102723963	0	290
29127	6576	3830
41	1679	4750
6602	7062	3473
2819	80	3083
84987	1302	3417
91012	2373	4108
51474	19950	4821
100302220	0	71
121006	4	7687
113251	6113	7532
57609	6069	8783
466	952	2833
283471	0	1465
25840	147	3744
613227	2	2342
4891	4631	7442
25875	2656	2371
81566	1860	4886
7024	2417	3715
5463	88	5301
9802	10369	2823
57228	465	1239
51411	7	3141
1990	0	952
11226	393	5753
9498	802	14012
6334	1480	12148
401720	34	5419
105369971	18	1398
341405	0	2436
94	72	4485
91	3192	5456
160622	15	4878
3164	154	6077
60673	1396	1437
26628	2	2010
144501	17770	4393
283403	8	1292
283404	8	1053
3855	131	2593
3892	51	2477
3887	69	2271
3889	2	1875
3891	2	2747
3890	0	2156
3888	0	2681
9119	1	2125
3854	20	2282
286887	32	2289
3853	90	2450
3852	184	2303
112802	0	2265
121391	0	3152
140807	0	3382
319101	0	3930
100127967	0	3808
3849	1	2414
3848	13	2451
374454	0	3846
51350	64	2529
3850	3	2540
3851	83	2147
338785	0	2066
196374	4	3024
3856	74930	2265
3875	43123	1535
1975	42134	4110
283335	104	2863
23371	2097	5643
102466193	0	69
84926	2815	2932
3489	37526	966
8435	19	3983
51380	610	4338
283337	2874	4454
3695	32	2965
5916	5490	3700
84975	2271	2647
9700	4289	6791
5204	6098	687
60314	2034	1215
8086	2392	2172
121340	22	3479
6667	8036	7719
269	0	2171
54458	7590	1195
5094	32092	3171
102157401	2	590
7786	1833	5133
6895	1379	2796
8620	32	592
11016	1285	7437
100652999	0	2297
517	5602	1340
57658	2138	3323
102216268	0	918
100874366	0	1408
3229	0	2396
3228	0	849
100124700	0	2579
3227	0	2037
100874365	0	368
3226	0	1960
406973	0	110
100874364	0	504
100874363	0	548
3225	0	1542
3224	680	2290
3223	228	2244
3221	29	2346
3222	91	2176
693200	2	96
440101	8	3942
100240735	0	905
100240734	0	491
400043	4	1396
23583	1361	4011
23468	11095	11868
100616400	0	80
3178	96041	2359
4778	97	2224
22818	6805	2020
442892	3	99
53831	2	4088
102724050	2	1206
25946	1441	2779
3678	5284	4250
121355	0	812
3071	12	3945
5153	0	3944
5502	0	1938
644076	0	781
90070	0	508
117159	0	709
118430	0	1064
9840	0	8789
58158	0	3956
441639	0	1008
121364	0	951
254783	0	989
283365	0	945
390321	0	939
254786	0	936
390323	0	939
403282	0	939
390326	0	939
341416	0	939
390327	0	1863
403284	0	939
341418	0	930
121129	0	930
121130	0	942
196410	2	1506
3679	74	5375
100528022	0	1213
2647	138	1004
5959	3	1342
967	11309	2060
10220	1510	8807
84324	2623	1308
